place_number;booking_weezpay_account;stall_name;drink_categories;food_types
726.02;2524-002;Hans Gr?ezi;;Raclette, Sandwich, R?sti frite sauce gruy?re, steack raclette sandwich;6.9311902769701295, 46.99097401989217
744.26;2542-002;L'Oeuforie;;Burgoeufs TM;6.929010702068973, 46.99143386241569
045.16;2474-002;BELGA;min?rales, bi?res;Sp?cialit?s belges (frites, snacks, mitraillettes);6.930154283860629, 46.990556306940896
744.03;2285-002;Stand de Asia-Food;;Sp?cialit?s Asiatiques;6.929099838185151, 46.99056103876223
384.08;2398-002;Stand de boucherie artisanal de L?Etivaz;;Grillades, mac raclette;6.930304553279624, 46.991906847481296
648.21;2361-002;Stand de fati yoann;min?rales, vins, bi?res, liquoreux, cocktails;;6.932307091850766, 46.991410089396105
045.28;2361-002;Stand de fati yoann;min?rales, vins, bi?res, liquoreux, cocktails;;6.930201521185358, 46.99049149814493
648.05;2170-003;Stand de Wenger Tupan Anita;min?rales;Burgers;6.931857050382848, 46.99118958402301
744.54;2200-002;Stand de Geissel Pascal;;;6.928584080884354, 46.992239141509394
657.16;2496-002;La Patanne;;Patates en spirales;6.929095274465121, 46.99012225354521
648.26;2125-007;Stand de Duong Khanh Hiep;;Sp?cialit?s Asiatiques;6.932995510991131, 46.991593365593836
537.06;2559-002;Stand de Coco Tha? Cuisine;min?rales, bi?res;Sp?cialit?s Asiatiques;6.931511417537566, 46.99074801808059
744.30;2561-002;Nach-Bar;min?rales, vins, bi?res, liquoreux;;6.92896860705746, 46.9915777423834
744.24;2171-004;Stand de Bonnaval;;Churros;6.929031751801823, 46.991366715100895
744.46;2183-022;L'Auberge d'Hauterive & Domaine Brunner;vins;Risotto, p?t? de chasse, dessert;6.928676430054786, 46.99209731781217
615.25;2560-002;Zia Kurtos;;Confiserie, Kurtoskalacs sp?cialit? hongroise;6.930415676783505, 46.98986639362001
657.20;2246-002;Paradis Kebab;min?rales, bi?res;Burgers, Kebab, Sandwich, Tacos;6.929363266331208, 46.99020453089921
726.27;2569-002;Stand de aboulhassanesamia;min?rales;Sp?cialit? marocaine;6.930557382990768, 46.990418742199125
615.06;2571-002;Stand Mendes;min?rales, vins, bi?res, liquoreux;Raclette;6.92999295196887, 46.98976529457262
615.04;2520-002;Stand Qu?b?cois;min?rales, bi?res, liquoreux, cocktails;Sp?cialit?s qu?b?coises;6.929892336426538, 46.98971431620617
726.15;2550-002;Saveurs Du Tibet;min?rales;Brioche Tib?taine;6.930794161447179, 46.99059363025355
615.08;2571-002;Stand de chezmendes;min?rales, bi?res, liquoreux;Poissons, Frites;6.930069467693657, 46.98980009376187
648.09;2570-002;Stand de lescrepesgourmandes;;Cr?pes, Sandwich, gaufres;6.931968343586803, 46.991243994627126
744.10;2573-002;Stand de marketing;min?rales, vins, bi?res, liquoreux;Sp?cialit?s antillaises petits encas et desserts;6.929191576950607, 46.99079106526961
276.06;2575-002;Stand de paul richeux;vins;Huitres/Vin Blanc, Fritures a base de Fromage;6.929914752127579, 46.990127210360804
615.29;2568-002;Portes de Novembre by Maison Gilliard;min?rales, vins;;6.9305332420345405, 46.989928206051864
744.14;2580-002;Stand de hectorfmr;min?rales, bi?res, liquoreux, cocktails;Sp?cialit?s Am?rique latine;6.929165335364475, 46.990895464066234
657.10;2581-002;Panares Gourmet;;Sandwich, Sp?cialit?s Am?rique latine, Burritos;6.929131711469555, 46.99023843919299
627.17;2410-002;Stand de Cabanons;;
537.18;2588-002;La cabane ? cocktails;min?rales, vins, bi?res, cocktails;;6.93127441002673, 46.99061837140973
726.05;2589-002;Tropical Pirate;min?rales, bi?res, liquoreux, cocktails;;6.9310415851594405, 46.99076836871119
726.21;2591-002;Stand de yumbab europe;min?rales, bi?res, liquoreux, cocktails;;6.930656692129758, 46.990499636295276
792.04;2413-005;Stand de Tamara;;Cr?pes;6.929417234237082, 46.99044964652081
726.04;2593-002;Pastef Neuch?tel;min?rales, vins, bi?res, liquoreux, cocktails;Sp?cialit?s Africaines;6.931132218150936, 46.99093255322457
276.10;2587-002;Krishna Take-Away Indien S?rl;min?rales, vins, bi?res, liquoreux, cocktails;Sp?cialit?s Asiatiques, Specialit?s sri-lankaise;6.929716688143151, 46.9900556022285
627.21;2410-003;Stand de Cabanons;;
657.04;2250-003;Stand de Yonten Tratsang;;Tib?tains;6.929143043458513, 46.99032350753656
615.19;2595-002;EFFEMME DISTRIBUTION S?RL (o-caffe.ch);min?rales, liquoreux;;6.930296503545976, 46.98981449659578
000.01;2077-002;CASHLESS VOIRIE;;;6.930878606360368, 46.9896597692294
000.02;2077-003;CASHLESS LOUNGE TERROIR;;;6.930856749053463, 46.98964977136353
537.24;2599-003;Stand de tapis marbre;;Churros, Cr?pes;6.9311285540364365, 46.990508544735995
000.03;2601-002;Stand de naveen begni;;;6.930834891754704, 46.98963977349352
000.04;2077-004;CHRISTIAN JEAN;;;6.930813034464083, 46.98962977561925
219.01;2495-002;Stand de contact;;;6.928705799327564, 46.99170873292545
648.30;2554-002;Stand de gulselgormez;min?rales, bi?res;Kebab, hot dog frites;6.933126140272631, 46.99165398793594
615.10;2603-002;Stand de Le Petit Train Rouge;;Burgers, Pizza;6.9301552946832805, 46.98984173957191
